sample_id,reads,flow_id,date,longitude,latitude,fire,ammonium,clay,conductivity,elev,exc_aluminium,exc_calcium,exc_magnesium,exc_potassium,exc_sodium,nitrate,organic_carbon,ph,phosphorus_colwell,potassium_colwell,sand,silt,sulphur,texture,vegetation_type,woody_veg_cover
s12424,109621,A64JJ,2013-07-16,148.3395,-42.1074,,2,7.97,0.071,22,0.447,1.29,1.18,0.17,0.37,1e-10,1.74,4.5,3,107,84,8.02,6.6,1.5,Woodland,49
s12428,158702,AC9CM,2013-07-16,148.336683,-42.105769,,17,16.15,0.286,45,0.042,15.36,5.12,0.71,1.16,10,4.08,6.8,12,282,75.72,8.13,26.4,1.5,Woodland,35.00000000000001
s12430,402885,A64JJ,2013-07-16,148.2641,-42.1685,,6,15.59,0.199,51,0.026,31.61,5.41,0.38,1.14,20,5.3,6.6,12,184,76.56,7.86,14,1.5,Woodland,35.00000000000001
s12438,376184,A64JJ,2013-07-17,148.3021,-42.0578,,7,10.48,0.114,17,0.034,10.78,3.42,0.34,0.79,2,4.33,5.3,6,158,85.28,4.24,11.8,1.5,Woodland,32.00000000000001
s12444,53091,A64JJ,2013-07-18,146.6099,-42.6831,,22,39.17,0.212,1068,8.568,3.25,1.84,0.94,0.51,2,5.55,3.9,20,365,43.33,17.51,26.9,1,Other,39.000000000000014
s12446,422340,A64JJ,2013-07-18,146.625,-42.6735,,39,52.02,0.219,1035,0.628,22.88,7.91,1.49,0.96,1e-10,5.38,3.2,53,730,33.73,14.25,29.6,1,Forest,47
s12447,184685,A64JJ,2013-07-18,146.6711,-42.6793,,10,13.45,0.051,692,4.127,0.64,0.6,0.23,0.1,1e-10,4.43,3.7,15,130,79.28,7.27,9,1,Forest,67
s12459,114337,A64JJ,2013-08-14,148.7989167,-35.42356667,,11,11.96,0.042,1281,3.088,1.84,0.68,0.63,0.04,1e-10,4.58,4.2,12,247,67.02,21.02,3.2,1,Woodland,67
s12461,501689,A64JJ,2013-08-14,148.7975833,-35.42373333,,14,20.02,0.077,1266,2.097,8.23,1.72,0.82,0.07,1e-10,4.46,4,54,357,57.85,22.13,5.7,1,Forest,67
s12463,106670,A64JJ,2013-08-14,148.7978833,-35.42388333,,12,15.84,0.063,1263,0.796,10.45,1.8,0.67,0.05,1e-10,4.46,4.3,47,261,66.23,17.93,6.1,1,Forest,67
s12465,280161,A64JJ,2013-08-14,148.79855,-35.4214,,22,12.69,0.064,1262,0.2,18.56,2.4,0.74,0.05,1e-10,4.82,4.7,68,320,67.21,20.09,5,1,Forest,59.00000000000001
s12467,85203,A64JJ,2013-08-14,148.79595,-35.42375,,6,18.15,0.07,1294,0.769,8.04,0.86,0.63,0.06,1e-10,4.3,4.4,49,268,65.62,16.23,6.6,1,Forest,60.00000000000001
s12469,682178,A64JJ,2013-08-14,148.7968,-35.4235,,7,16.9,0.081,1278,0.115,12.39,1.63,0.92,0.05,1e-10,3.75,5.2,51,361,61.85,21.25,5.4,1,Forest,67
s12471,224630,A64JJ,2013-08-14,148.7971667,-35.42386667,,13,13.51,0.05,1267,0.275,10.73,1.48,0.44,0.04,1,4.38,4.8,70,202,61.21,25.28,4.2,1.5,Forest,67
s12473,671825,A64JJ,2013-08-14,148.7967667,-35.42325,,8,13.08,0.08,1300,1.019,4.2,0.83,0.42,0.04,1e-10,3.19,4.5,22,182,67.72,19.2,13.7,1,Forest,67
s12475,89965,A64JJ,2013-08-14,148.7965833,-35.42385,,16,16.13,0.101,1292,0.364,11.18,1.48,0.62,0.05,1e-10,3.42,4.7,34,289,67.63,16.24,6.1,1,Forest,67
s12477,352623,A64JJ,2013-08-14,148.7961,-35.42261667,,9,16.26,0.075,1285,0.6,7.84,0.9,0.6,0.03,1e-10,3.4,4.7,13,249,69.43,14.31,9.9,1.5,Forest,67
s12479,276376,A64JJ,2013-08-14,148.7963833,-35.42318333,,6,21.63,0.058,1287,0.543,7.85,1.16,0.33,0.04,1e-10,3.16,4.5,68,139,58.8,19.57,4.9,1,Forest,67
s12493,164863,AC9CM,2014-05-12,149.0083,-35.881100000000004,,5,12.23,0.036,1111,0.089,7.7,1.84,0.45,0.02,1,2.62,5.3,26,220,61.17,26.61,3.2,2.5,Woodland,34.00000000000001
s12558,120345,B3C4H,2015-04-06,148.151667,-35.656611,,19,14.87,0.049,NA,3.848,2.83,1.15,0.77,0.08,1e-10,4.79,4.4,14,302,55.21,29.92,3.4,2,Forest,63.000000000000014
s12562,389437,AAVYC,2014-11-04,149.0083,-35.881100000000004,,10,11.06,0.061,1111,0.073,8.9,2.17,0.62,0.03,1e-10,3.45,5.1,31,241,63.39,25.56,4.7,2,Woodland,34.00000000000001
s12574,121461,AC9CM,2014-02-17,149.0083,-35.881100000000004,,6,11.06,0.048,1111,0.036,9.67,2.3,0.52,0.02,2,3.64,5.2,27,231,63.39,25.56,4,2,Woodland,34.00000000000001
s12592,439347,ANVM7,2014-03-06,139.84894,-34.09934,,1e-10,4.87,0.06,35,0.083,2.47,0.88,0.27,0.15,8,0.56,6.2,37,145,95.13,1e-10,9.9,1.5,Other,37.000000000000014
s12594,222792,ANVM7,2014-03-06,139.84894,-34.09934,,2,4.95,0.051,35,0.046,3.02,0.84,0.31,0.01,7,0.47,6.7,44,147,94.05,1,5.1,1.5,Other,37.000000000000014
s12614,601866,AAVYC,2014-01-23,150.265414,-33.659823,,4,9.44,0.158,1014,0.038,11.06,1.62,0.79,0.15,50,3.11,6.1,165,310,82.12,8.44,16.7,1.5,Other,69
s12616,506535,AAVYC,2014-01-23,150.265414,-33.659823,,1e-10,9.65,0.114,1014,0.037,9.5,1.18,0.36,0.04,49,3.56,5.4,92,152,84.96,5.39,7.5,1.5,Other,69
s12618,565981,AAVYC,2014-01-28,150.268179,-33.652818,,2,10.64,0.185,1020,0.027,13.49,2.27,0.33,0.21,43,3.88,6.3,193,543,82.91,6.45,16.9,1.5,Other,51
s12620,322385,AAVYC,2014-01-28,150.268179,-33.652818,,5,9.75,0.076,1020,0.026,11.11,0.82,0.45,0.07,15,3.38,5.9,102,177,85.89,4.36,9.1,1.5,Other,51
s12622,367700,AAVYC,2014-01-28,150.267825,-33.652974,,2,12.52,0.051,1020,0.092,9.46,1.21,0.45,0.04,14,1.8,5.1,173,176,81.17,6.31,4.1,1.5,Other,51
s12624,428181,AAVYC,2014-01-28,150.267756,-33.652613,,5,14.93,0.059,1020,0.052,9.71,1.47,0.7,0.04,4,3.78,5.4,113,275,76.48,8.59,4.6,1.5,Other,51
s12816,74175,A5P6W,2013-10-30,145.4478833,-16.10341667,,17,24.16,0.099,100,1.552,1.69,1.27,0.41,0.2,4,4.93,4.2,7,161,56.88,18.95,14.2,1.5,Forest,86.00000000000001
s12818,61511,A5P6W,2013-10-30,145.4472167,-16.10298333,,16,19.42,0.104,56,0.368,5.16,1.79,0.5,0.16,28,4.62,4.6,9,196,41.63,38.94,11.3,2,Forest,86.00000000000001
s12819,75828,A5P6W,2013-10-30,145.4478833,-16.10341667,,16,NA,0.108,56,0.134,10.34,2.72,0.81,0.26,16,5.36,4.9,8,332,NA,NA,12.9,2,Forest,86.00000000000001
s12824,165826,A5P6W,2013-10-29,145.6308833,-17.12108333,,14,25.09,0.05,718,1.648,0.33,0.37,0.18,0.06,7,3.23,4.1,8,72,68.62,6.29,6.9,1.5,Forest,85.00000000000001
s12828,79101,A5P6W,2013-10-29,145.61195,-17.1036,,58,21.41,0.081,895,1.182,2.38,0.96,0.32,0.09,3,4.34,4.4,7,123,68.93,9.66,10.8,1.5,Forest,86.00000000000001
s12830,40615,A5P6W,2013-10-29,145.6202167,-17.09208333,,27,28.53,0.079,1129,1.674,0.68,0.47,0.18,0.1,11,4.08,4.1,6,69,57.7,13.76,12.4,1.5,Forest,86.00000000000001
s12832,190479,AAUF6,2013-09-19,152.878317,-27.387599,,10,16.7,0.025,95,0.286,2.05,1.02,0.11,0.09,1,1.73,4.8,5,42,78.29,5.01,3.7,2,Other,43.99999999999999
s12834,207988,AAUF6,2013-09-19,152.87905,-27.387121,,9,20.1,0.03,61,0.16,1.79,0.92,0.1,0.05,5,1.46,4.9,5,39,75.4,4.6,3.2,2,Woodland,43.99999999999999
s12838,71719,A5P6W,2013-08-21,153.083025,-27.632688,,4,NA,0.024,47,1.021,0.87,0.9,0.1,0.12,1e-10,1.63,4.5,3,38,NA,NA,3,2.5,Forest,54
s12884,294262,A64JJ,2013-09-05,145.029247,-36.673214,,3,NA,0.077,152,0.595,2.56,4.97,0.72,0.7,1,3.13,4.5,6,295,NA,NA,7.2,2.5,Woodland,39.000000000000014
s12891,91678,A5P6W,2013-09-23,144.05391,-37.25205,,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forest,43.99999999999999
s12903,351241,AAVYC,2013-12-06,146.6542886,-43.09507123,,10,32.26,0.092,100,4.175,1.19,0.97,0.27,0.13,1,4.62,3.4,8,123,34.03,44.19,10.2,1,Forest,74
s13268,158509,AAUF6,2013-10-24,144.11969,-39.935,,19,15.93,0.37,79,0.321,3.73,3.22,0.44,2.34,1e-10,4.95,3.3,7,170,68.01,16.06,23.7,2,Woodland,63.000000000000014
s13270,137970,AAUF6,2013-10-24,144.08213,-39.89271,,5,11.28,0.052,35,0.351,2.17,1.26,0.16,0.31,1e-10,4.69,3.2,4,63,81.88,6.84,5,1.5,Shrubland,72
s13739,128787,AAVYC,,130.794355,-13.179121,,6,NA,0.013,NA,0.781,0.35,1.03,0.08,0.07,1e-10,2.98,4.9,4,33,NA,NA,1.3,1.5,Savannah,30.000000000000004
s138364,137212,J9GGM,2019-10-15,116.45609,-32.92999,,3,11.03,0.011,358,0.03,3.4,0.89,0.05,0.05,1e-10,2.03,5.2,2,27,82.32,6.65,4.7,2.0,Forest,34.00000000000001
s138366,89872,J9GGM,2019-10-15,116.45549,-32.93049,,4,10.34,0.036,358,0.34,4,1.19,0.14,0.16,1e-10,4.2,4.6,3,61,85.48,4.18,8.5,2.0,Forest,34.00000000000001
s138374,129599,J9GGM,2019-10-16,116.44527,-32.90898,,7,13.9,0.053,315,0.15,12.73,3.25,0.23,0.24,1,4.36,5,4,105,72.1,14,8.1,2.0,Forest,32.00000000000001
s138388,198781,J9GGM,2019-10-16,116.43233,-32.92172,,6,20.61,0.027,286,0.08,7.86,1.61,0.21,0.12,1,3.74,5.1,6,88,75.24,4.14,6,2.5,Forest,30.000000000000004
s138390,142749,J9GGM,2019-12-10,116.43416,-32.9151,,7,14.41,0.058,350,0.06,6.12,1.57,0.21,0.32,1e-10,3.59,5.1,4,95,74.22,11.37,11.5,2.0,Forest,40.000000000000014
s138394,319556,J9GGM,2019-12-10,116.42781,-32.93388,,1,8.84,1e-10,341,0.03,2.64,0.67,0.08,0.04,1e-10,1.17,5.4,1e-10,42,81.28,9.88,9.4,2.0,Forest,35.00000000000001
s138400,232856,J9GGM,2019-12-10,116.46324,-32.92707,,5,13.38,0.037,361,0.12,5.23,1.41,0.13,0.16,1e-10,3.55,4.7,4,59,75.26,11.36,9.5,2.5,Forest,34.00000000000001
s138524,35593,K3W8G,2022-03-15,147.00798,-41.0368,,3,7.91,0.063,NA,0.17,2.82,0.86,0.13,0.16,1e-10,2.17,3.7,3,56,90.09,2,5.5,1.5,Woodland,60.00000000000001
s138526,53880,K3W8G,2022-03-16,147.061171,-40.999369,pre-2001,1,2.92,0.021,NA,0.07,0.74,0.29,0.07,0.05,1e-10,0.83,4.1,1e-10,31,96.09,0.99,1.4,1.5,Shrubland,36.00000000000001
s138528,55249,K3W8G,2022-03-16,147.061407,-40.998746,wildfire Nov 2019,2,1.95,0.017,NA,0.08,0.99,0.38,0.06,0.05,1e-10,1.07,4.2,1e-10,33,94.07,3.99,1.5,1.5,Shrubland,36.00000000000001
s138530,38536,K3W8G,2022-03-16,147.063393,-40.991764,wildfire Nov 2019,14,26.9,0.35,NA,0.03,11.08,10.87,0.94,3.34,11,4.52,5.3,16,426,41.96,31.15,22.8,1.5,Woodland,39.000000000000014
s138532,77892,K3W8G,2022-03-16,147.00794,-41.036665,,2,5.89,0.04,NA,0.14,1.8,0.75,0.11,0.13,1e-10,1.78,3.8,3,37,92.11,2,2.7,1.5,Woodland,60.00000000000001
s138590,111772,KBJ9G,2021-06-18,136.584113,-14.10286,,3,7.93,0.017,NA,0.6,1.46,0.52,0.03,0.03,2,1.29,4.6,1e-10,24,90.08,1.99,1.7,1.0,Woodland,40.000000000000014
s138598,466648,KBJ9G,2021-06-17,136.703332,-14.224496,,1e-10,3.8,0.062,NA,0.37,0.11,0.06,0.02,0.02,1e-10,0.13,4,1e-10,1e-10,94.28,1.92,34.5,1.0,Savannah,42.99999999999999
s138604,312811,KBJ9G,2021-06-16,136.431654,-14.082337,,5,7.82,1.911,NA,0.05,9.93,3.92,0.29,5.86,11,1.56,6.1,6,159,88.25,3.93,681.4,1.5,Mangrove,40.99999999999999
s13892,113706,AAVYC,2013-03-18,138.2613,-35.60827,,6,21.32,0.078,306,0.493,5.21,1.88,0.39,0.27,1e-10,3.48,4.8,2,153,60.51,18.17,8.1,1.5,Woodland,48
s13893,206923,AAVYC,2013-03-18,138.6902,-35.27211,,2,15.43,0.041,330,1.086,1.2,0.79,0.19,0.15,1e-10,2.16,4.3,1e-10,73,69.08,15.48,5.7,1.5,Woodland,61.00000000000001
s13895,300666,AAVYC,2013-03-20,138.1363,-32.74842,,4,12.56,0.042,627,0.071,5.17,1.19,0.28,0.11,5,2.58,4.7,3,109,75.97,11.47,6.2,1.5,Woodland,48
s13896,271414,AAVYC,2013-03-20,138.6038,-33.9142,,10,16.43,0.061,539,0.338,6.47,2.61,0.41,0.19,2,3.93,4.6,5,160,68.19,15.38,8.6,1.5,Woodland,39.000000000000014
s13899,116946,AAUF6,2013-03-21,138.9086,-34.6831,,12,11.2,0.049,350,0.156,4.25,0.75,0.22,0.09,2,2.39,4.9,3,84,81.64,7.16,7.3,1.5,Woodland,44.99999999999999
s13900,172677,AAUF6,2013-03-21,138.7083,-34.88076,,5,4.8,0.06,250,0.155,2.45,0.53,0.22,0.06,3,1.58,4.6,1e-10,86,87.43,7.77,4.1,1.5,Woodland,34.00000000000001
s13901,139485,AAUF6,2013-03-21,138.727,-34.93343,,12,7.01,0.054,507,0.255,2.57,0.86,0.15,0.09,3,1.93,4.4,3,58,87.94,5.04,5.3,2,Woodland,55.00000000000001
s13905,139150,AAUF6,2013-03-24,138.5946,-31.54388,,15,23.04,0.106,596,0.059,9.26,3.56,0.64,0.13,28,2.39,6,9,251,64.33,12.62,9.2,1.5,Shrubland,33.00000000000001
s139068,186191,J9FL8,2019-12-20,116.02238,-32.29387,,2,8.12,0.018,285,0.17,3.06,0.84,0.08,0.1,1e-10,2.43,5,7,47,87.8,4.08,4.8,2.0,Forest,43.99999999999999
s140218,59522,JC328,2020-04-08,138.650709,-35.102142,,4,25.13,0.082,261,0.02,8.43,3.35,0.52,0.35,10,2.66,5.3,3,301,39.12,35.75,8,3.0,Woodland,38.000000000000014
s140220,59897,JC328,2020-04-08,138.650715,-35.101944,,5,22.85,0.071,262,0.2,12.84,3.12,0.57,0.31,11,5.15,4.6,4,297,40.41,36.74,6.6,3.0,Woodland,38.000000000000014
s140222,45215,JC328,2020-04-08,138.650319,-35.101999,,7,25.16,0.095,255,0.03,10.97,4.66,0.6,0.45,14,4.44,5,5,366,33.49,41.36,7.1,3.0,Woodland,38.000000000000014
s140224,145413,JC328,2020-04-08,138.654574,-35.091696,,3,15.09,0.048,334,0.5,2.77,0.97,0.25,0.15,16,2.55,4.3,6,114,78.43,6.49,4.1,2.0,Woodland,30.000000000000004
s140226,145735,JC328,2020-04-08,138.65477,-35.090961,,4,15.79,0.047,336,0.45,3.15,1.18,0.28,0.15,11,2.93,4.3,7,138,75.75,8.45,3.6,2.0,Woodland,30.000000000000004
s140228,158250,JC328,2020-04-08,138.6549204,-35.0906934,,6,15.81,0.054,337,0.53,2.78,0.84,0.19,0.13,16,2.57,4.2,7,85,75.74,8.46,5.5,2.0,Woodland,30.000000000000004
s140232,427343,JC328,2020-04-08,138.659129,-35.085429,,2,12.69,0.062,349,0.08,5.29,1.34,0.6,0.22,22,2.71,4.9,32,278,78.81,8.5,2.5,2.0,Woodland,40.99999999999999
s140234,135800,JC328,2020-04-08,138.659439,-35.085733,,5,16.13,0.053,348,0.28,3.7,0.98,0.51,0.22,18,2.81,4.5,20,251,76.32,7.55,3.7,2.0,Woodland,40.99999999999999
s140236,76994,JC328,2020-04-09,138.658608,-35.081399,,6,22.9,0.079,325,0.25,12.64,6.17,0.65,0.49,12,5.37,4.3,6,331,31.08,46.03,4.8,2.5,Woodland,43.99999999999999
s140238,97874,JC328,2020-04-09,138.658225,-35.081391000000004,,7,28.03,0.111,321,0.03,19.58,7.16,0.68,0.55,27,4.97,5,9,377,34.52,37.45,6.1,3.0,Woodland,43.99999999999999
s140240,68604,JC328,2020-04-09,138.657617,-35.081551,,6,16.23,0.121,317,0.08,15.23,5.82,0.47,0.47,18,4.63,4.5,5,251,59.35,24.42,7.4,2.0,Woodland,43.99999999999999
s140242,42402,JC328,2020-04-09,138.657191,-35.081479,,6,21.1,0.107,311,0.08,9.69,3.42,0.45,0.36,26,4.91,4.6,4,243,60.05,18.86,4.5,2.5,Woodland,43.99999999999999
s140244,51510,JC328,2020-04-09,138.676234,-35.091744,,4,19.68,0.081,252,0.05,9.08,4.11,0.63,0.4,11,4.26,4.9,11,434,42.94,37.38,5.5,3.0,Woodland,43.99999999999999
s140246,48591,JC328,2020-04-09,138.676184,-35.091563,,4,22.96,0.076,254,0.36,4.63,3.17,0.49,0.34,11,3.97,4.5,6,305,39.31,37.74,6.8,3.0,Woodland,43.99999999999999
s140248,54375,JC328,2020-04-10,138.67605,-35.091272,,3,20.82,0.036,257,0.83,3.15,1.5,0.36,0.16,10,3.28,4.1,5,217,47.8,31.38,3.8,3.0,Woodland,43.99999999999999
s140250,152575,JC328,2020-04-10,138.677674,-35.098208,,3,26.53,0.081,272,0.34,7.53,2.82,0.6,0.28,21,5.2,4.1,8,447,44.62,28.86,4.6,3.0,Woodland,31.000000000000007
s140252,1058094,JC328,2020-04-10,138.677728,-35.097955,,3,26.15,0.088,270,0.24,4.32,1.45,0.46,0.22,14,4.71,4.2,7,388,43.22,30.63,4.1,3.0,Woodland,31.000000000000007
s140254,153828,JC328,2020-04-10,138.677626,-35.097955,,4,28.83,0.108,266,0.2,4.94,1.85,0.48,0.33,15,5.04,4.3,11,448,37.79,33.39,6.3,3.0,Woodland,31.000000000000007
s140258,87392,JC328,2020-04-10,138.684929,-35.103062,,3,16.29,0.04,273,0.22,4.35,1.2,0.41,0.12,13,2.58,4.7,3,203,67.32,16.39,2.6,2.5,Woodland,38.000000000000014
s14181,161710,AGEDA,2014-10-15,147.781349,-24.83835,,4,15.93,0.031,860,0.103,4.35,2.05,0.23,0.09,2,1.53,5.1,8,101,79.08,4.99,1.2,2,Woodland,39.000000000000014
s14183,388442,AGEDA,2014-10-15,147.521225,-24.853827,,2,4.91,0.014,738,0.169,1.29,0.33,0.11,0.02,3,0.93,4.8,18,42,92.12,2.98,0.7,1,Woodland,40.000000000000014
s14185,166162,AGEDA,2015-01-29,145.08186,-41.65563,,8,23.05,0.522,16,0.573,14.84,10.79,0.77,1.71,1e-10,5,3.9,62,307,59.59,17.36,50.6,2,Forest,70
s14187,121116,AGEDA,2015-01-31,145.09314,-41.58365,,12,21.58,0.187,244,1.458,2.22,3.36,0.44,0.75,1,5.4,3.4,11,194,56.75,21.67,39.5,1,Shrubland,49
s15823,514499,ANVM7,2014-08-21,152.424374,-28.229765,,80,NA,0.19,1110,3.029,6.34,2.16,0.82,0.12,105,5.78,4.4,31,347,NA,NA,14.3,1.5,Forest,77
s15825,682238,ANVM7,2014-08-21,152.424726,-28.288659,,78,NA,0.168,1120,2.939,6.84,1.79,0.9,0.08,71,5.66,4.2,41,350,NA,NA,16.1,1.5,Forest,37.000000000000014
s15827,538698,ANVM7,2014-08-21,152.426866,-28.227608,,72,NA,0.107,1140,0.464,12.83,3.22,0.92,0.13,24,5.51,4.8,30,366,NA,NA,19.4,1.5,Forest,77
s15829,409463,ANVM7,2014-08-21,152.427209,-28.227565,,57,NA,0.089,1140,0.068,27.73,8.24,1.31,0.21,7,5.22,5.4,136,535,NA,NA,5.5,1.5,Forest,77
s15865,136820,AGEDA,,143.09814,-13.83469,,2,2.9,0.024,NA,0.15,0.99,0.43,0.08,0.09,6,0.99,4.4,3,33,95.13,1.97,1.3,1,,36.00000000000001
s15867,222982,AGEDA,,143.09857,-13.82992,,3,2.96,0.03,NA,0.255,0.79,0.38,0.04,0.1,10,1.14,4.3,3,17,95.03,2.01,1.4,1,,37.000000000000014
s15877,185401,AGEDA,,141.88817,-13.77233,,9,24.15,0.23,NA,3.444,0.41,0.72,0.15,0.19,98,4.6,4,9,65,51.6,24.26,3.8,2,,42.99999999999999
s15879,171114,AGEDA,,141.89049,-13.77007,,15,24.53,0.294,NA,4.327,0.94,0.81,0.18,0.11,162,4.2,3.9,15,69,59.06,16.42,7.7,2.5,,39.000000000000014
s15881,114111,AGEDA,,141.68107,-13.60245,,7,40.36,0.165,NA,5.685,0.3,0.41,0.2,0.15,81,4.31,3.9,14,78,35.36,24.28,11.3,2.5,,40.99999999999999
s15883,132655,AGEDA,,141.6841,-13.60315,,12,40.8,0.059,NA,3.294,0.18,0.23,0.14,0.1,17,3.23,4.1,9,55,51.02,8.18,8.4,2,,39.000000000000014
s15947,92011,AGEDA,2014-10-15,147.40767,-42.40422,,4,6.07,0.04,NA,1.363,0.47,0.35,0.24,0.11,0.5,2.51,3.6,7,104,89.82,4.11,3.6,1.5,,44.99999999999999
s15949,127773,AGEDA,2014-10-15,147.39757,-42.32849,,5,8.16,0.029,NA,1.767,0.89,0.96,0.32,0.11,0.5,3.06,3.3,12,148,87.71,4.13,2.1,1.5,,44.99999999999999
s15955,145826,AGEDA,2014-10-17,147.50573,-42.8223,,2,5.81,0.021,NA,0.035,2.56,0.61,0.15,0.06,0.5,1.16,4.8,4,75,92.22,1.97,1.8,1.5,,43.99999999999999
s15965,148229,AGEDA,2014-10-17,147.45611,-42.54522,,9,7.91,0.031,NA,1.17,0.89,0.71,0.22,0.08,0.5,2.25,3.5,8,104,90.08,2,2.8,1.5,,53
s15969,137452,AGEDA,2014-10-24,147.04742,-42.38784,,4,5.8,0.03,NA,1.222,0.87,0.57,0.27,0.06,0.5,2.3,3.3,6,108,84.36,9.84,1.7,1.5,,32.00000000000001
s15981,134032,AGEDA,2014-11-07,147.20049,-42.55598,,9,25.03,0.054,NA,0.021,24.09,6.61,0.64,0.41,14,4.9,5.1,17,304,51.94,23.04,5.7,2,,38.000000000000014
s15987,129684,AGEDA,2014-11-13,147.01964,-42.40184,,3,12.12,0.023,NA,1.973,0.72,0.58,0.28,0.1,0.5,2.67,4,12,110,87.88,1e-10,2,1.5,,36.00000000000001
s15997,169728,AGEFG,2014-11-13,146.77292,-42.57264,,2,2.99,0.02,NA,1.051,0.68,0.4,0.15,0.05,0.5,1.2,3.7,9,75,92.95,4.06,1.6,1.5,,32.00000000000001
